"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\signup.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\stores\stats.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\stores\user.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 2, 35
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\style.css", "PostCSS", 0, 91, 0, 0, 0, 0, 1, 18, 110
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\user-stats.css", "PostCSS", 0, 35, 0, 0, 0, 0, 0, 2, 37
"c:\Users\joshi\Documents\raw-stats-practice\frontend\src\user-stats.js", "JavaScript", 0, 0, 0, 183, 0, 0, 31, 25, 239
"c:\Users\joshi\Documents\raw-stats-practice\frontend\user-stats.html", "HTML", 0, 0, 93, 0, 0, 0, 8, 18, 119
"c:\Users\joshi\Documents\raw-stats-practice\index.html", "HTML", 0, 0, 45, 0, 0, 0, 2, 7, 54
"c:\Users\joshi\Documents\raw-stats-practice\js\signup.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\joshi\Documents\raw-stats-practice\login.html", "HTML", 0, 0, 60, 0, 0, 0, 2, 8, 70
"c:\Users\joshi\Documents\raw-stats-practice\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 348, 51, 399
"c:\Users\joshi\Documents\raw-stats-practice\notes.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\joshi\Documents\raw-stats-practice\raw-stats.html", "HTML", 0, 0, 71, 0, 0, 0, 8, 4, 83
"c:\Users\joshi\Documents\raw-stats-practice\signup.html", "HTML", 0, 0, 73, 0, 0, 0, 2, 8, 83
"c:\Users\joshi\Documents\raw-stats-practice\style.css", "PostCSS", 0, 52, 0, 0, 0, 0, 1, 11, 64
"Total", "-", 11, 178, 724, 1259, 41, 1, 940, 440, 3594
